adv_id,Captação,Tipo de Captação,Data
Assessor_46,"431199,04",ST,2020-07-29 00:00:00
Assessor_41,"431100,00",TED,2020-10-21 00:00:00
Assessor_26,"430000,00",PREV,2020-07-08 00:00:00
Assessor_26,"428621,13",ST,2020-07-27 00:00:00
Assessor_5,"428144,66",ST,2020-01-28 00:00:00
Assessor_4,"425230,00",TED,2020-09-03 00:00:00
Assessor_41,"424602,50",TED,2020-09-24 00:00:00
Assessor_15,"424600,00",TED,2020-10-14 00:00:00
Assessor_41,"424252,00",ST,2019-11-12 00:00:00
Assessor_31,"423951,07",TED,2020-07-23 00:00:00
Assessor_12,"422950,00",TED,2020-10-23 00:00:00
Assessor_27,"422437,12",TED,2020-03-13 00:00:00
Assessor_21,"420000,00",TED,2020-08-07 00:00:00
Assessor_12,"419531,00",TED,2020-07-14 00:00:00
Assessor_35,"416187,09",TED,2020-03-09 00:00:00
Assessor_27,"415311,00",PREV,2020-09-11 00:00:00
Assessor_41,"415150,00",TED,2020-10-26 00:00:00
Assessor_10,"415000,00",TED,2020-05-05 00:00:00
Assessor_29,"415000,00",TED,2020-09-11 00:00:00
Assessor_49,"411730,92",ST,2020-10-29 00:00:00
Assessor_46,"411036,71",TED,2020-07-02 00:00:00
Assessor_35,"409390,12",TED,2020-08-27 00:00:00
Assessor_12,"407500,00",TED,2020-02-07 00:00:00
Assessor_25,"406743,99",TED,2020-04-02 00:00:00
Assessor_42,"406200,00",TED,2020-08-21 00:00:00
Assessor_40,"405770,00",ST,2019-11-26 00:00:00
Assessor_15,"405403,59",PREV,2020-05-21 00:00:00
Assessor_10,"403490,19",TED,2020-08-13 00:00:00
Assessor_19,"403423,29",TED,2020-08-13 00:00:00
Assessor_36,"400260,00",TED,2020-02-05 00:00:00
Assessor_33,"400000,00",CEX,2020-10-30 00:00:00
Assessor_41,"399206,05",TD,2020-10-22 00:00:00
Assessor_19,"396105,00",TED,2020-08-17 00:00:00
Assessor_19,"392880,95",ST,2019-12-06 00:00:00
Assessor_31,"391648,42",TED,2020-08-24 00:00:00
Assessor_42,"390872,37",ST,2019-10-28 00:00:00
Assessor_48,"390690,00",TED,2020-09-28 00:00:00
Assessor_31,"389569,63",TED,2020-08-18 00:00:00
Assessor_28,"387864,87",TED,2020-09-18 00:00:00
Assessor_40,"387005,20",ST,2020-07-31 00:00:00
Assessor_23,"381000,00",TED,2020-01-30 00:00:00
Assessor_10,"379241,91",ST,2020-01-27 00:00:00
Assessor_14,"376375,26",PREV,2020-07-17 00:00:00
Assessor_41,"374999,32",ST,2020-05-18 00:00:00
Assessor_26,"373400,00",TED,2019-12-26 00:00:00
Assessor_26,"372150,00",TED,2019-12-10 00:00:00
Assessor_42,"371512,71",TED,2020-06-02 00:00:00
Assessor_49,"370981,07",TED,2020-10-09 00:00:00
Assessor_29,"370375,95",ST,2020-07-09 00:00:00
Assessor_3,"369681,00",ST,2020-10-30 00:00:00
Assessor_22,"369378,11",TED,2020-10-27 00:00:00
Assessor_26,"367852,88",PREV INTERNA,2020-03-24 00:00:00
Assessor_31,"367000,00",TED,2020-08-27 00:00:00
Assessor_12,"366500,00",TED,2020-06-17 00:00:00
Assessor_35,"364406,28",ST,2020-09-21 00:00:00
Assessor_31,"364073,77",TED,2020-10-08 00:00:00
Assessor_10,"364059,00",ST,2020-08-21 00:00:00
Assessor_41,"361847,12",PREV,2020-06-05 00:00:00
Assessor_23,"360915,88",TED,2020-08-12 00:00:00
Assessor_29,"360179,28",TED,2020-04-24 00:00:00
Assessor_28,"359475,00",ST,2020-08-20 00:00:00
Assessor_29,"359000,00",TED,2020-10-01 00:00:00
Assessor_42,"356442,00",ST,2020-06-18 00:00:00
Assessor_26,"356320,00",TED,2020-01-31 00:00:00
Assessor_10,"356197,08",PREV,2020-06-26 00:00:00
Assessor_40,"355816,21",PREV,2020-06-19 00:00:00
Assessor_26,"355327,75",RF,2020-07-27 00:00:00
Assessor_21,"354200,00",TED,2020-06-22 00:00:00
Assessor_34,"352500,00",TED,2020-09-30 00:00:00
Assessor_21,"352298,84",ST,2020-08-20 00:00:00
Assessor_21,"352187,74",TED,2020-07-14 00:00:00
Assessor_14,"351728,95",PREV,2020-07-15 00:00:00
Assessor_49,"351200,00",TED,2020-09-03 00:00:00
Assessor_5,"350677,18",PREV,2020-03-12 00:00:00
Assessor_25,"350000,00",TED,2019-12-17 00:00:00
Assessor_41,"350000,00",TED,2020-05-07 00:00:00
Assessor_3,"349374,05",TED,2020-04-01 00:00:00
Assessor_27,"348575,14",TED,2020-08-11 00:00:00
Assessor_46,"348000,00",TED,2020-01-17 00:00:00
Assessor_42,"347000,00",TED,2020-02-04 00:00:00
Assessor_31,"346373,49",TED,2020-10-28 00:00:00
Assessor_19,"346274,74",TED,2020-08-12 00:00:00
Assessor_21,"345868,58",TED,2020-10-20 00:00:00
Assessor_27,"344293,04",TD,2020-04-24 00:00:00
Assessor_25,"342134,00",ST,2020-06-08 00:00:00
Assessor_3,"341038,54",PREV,2020-07-15 00:00:00
Assessor_5,"339600,00",TED,2020-09-29 00:00:00
Assessor_43,"339055,20",TED,2020-10-27 00:00:00
Assessor_12,"338308,55",TED,2020-06-09 00:00:00
Assessor_12,"337000,00",TED,2020-10-26 00:00:00
Assessor_9,"337000,00",TED,2020-10-22 00:00:00
Assessor_29,"335265,69",ST,2020-07-01 00:00:00
Assessor_15,"335000,00",TED,2019-12-05 00:00:00
Assessor_40,"334996,02",TED,2020-06-12 00:00:00
Assessor_33,"334030,03",ST,2020-06-23 00:00:00
Assessor_37,"333098,62",TED,2020-10-27 00:00:00
Assessor_26,"333000,00",TED,2020-01-02 00:00:00
Assessor_35,"330021,90",ST,2020-01-29 00:00:00
Assessor_22,"330000,00",PREV,2020-09-23 00:00:00
Assessor_23,"330000,00",TED,2020-10-22 00:00:00
Assessor_35,"330000,00",TED,2020-09-28 00:00:00
Assessor_41,"329185,41",PREV,2020-05-20 00:00:00
Assessor_34,"329000,00",TED,2020-09-15 00:00:00
Assessor_21,"328867,42",PREV,2020-05-15 00:00:00
Assessor_42,"328086,79",TED,2020-08-28 00:00:00
Assessor_31,"328040,00",TED,2019-12-17 00:00:00
Assessor_31,"328000,00",TED,2020-10-22 00:00:00
Assessor_5,"327800,00",TED,2020-09-22 00:00:00
Assessor_41,"327373,79",PREV,2020-05-21 00:00:00
Assessor_27,"327100,00",TED,2019-10-29 00:00:00
Assessor_28,"327100,00",TED,2020-06-12 00:00:00
Assessor_43,"326700,00",TED,2020-01-17 00:00:00
Assessor_37,"326240,00",TED,2020-10-26 00:00:00
Assessor_5,"326000,00",TED,2020-09-17 00:00:00
Assessor_26,"325789,60",TED,2020-01-03 00:00:00
Assessor_22,"324148,80",TD,2020-06-16 00:00:00
Assessor_12,"323817,65",TED,2020-05-28 00:00:00
Assessor_41,"323000,00",TED,2020-02-06 00:00:00
Assessor_12,"322050,00",ST,2020-06-25 00:00:00
Assessor_23,"322000,00",TED,2020-02-19 00:00:00
Assessor_29,"321956,40",ST,2020-06-19 00:00:00
Assessor_21,"321588,87",RF,2020-08-20 00:00:00
Assessor_35,"320600,00",TED,2020-08-14 00:00:00
Assessor_36,"320600,00",TED,2020-01-17 00:00:00
Assessor_12,"320067,50",TED,2020-06-08 00:00:00
Assessor_12,"320000,00",TED,2020-10-06 00:00:00
Assessor_48,"319756,37",TED,2020-07-30 00:00:00
Assessor_5,"319628,69",TED,2019-10-15 00:00:00
Assessor_23,"319600,00",TED,2020-10-14 00:00:00
Assessor_12,"319104,83",PREV,2020-07-13 00:00:00
Assessor_12,"317856,11",TED,2020-01-08 00:00:00
Assessor_5,"317724,29",TED,2020-03-10 00:00:00
Assessor_25,"317407,90",ST,2020-03-02 00:00:00
Assessor_21,"315427,45",TED,2020-06-04 00:00:00
Assessor_5,"315389,43",TED,2020-10-13 00:00:00
Assessor_49,"314825,00",TED,2020-10-02 00:00:00
Assessor_31,"314213,25",TED,2020-08-26 00:00:00
Assessor_28,"314049,92",TED,2020-06-15 00:00:00
Assessor_22,"314040,00",TED,2020-04-24 00:00:00
Assessor_41,"313694,70",TED,2020-09-04 00:00:00
Assessor_28,"313548,54",ST,2020-09-08 00:00:00
Assessor_10,"313000,00",TED,2020-08-28 00:00:00
Assessor_34,"312000,00",TED,2020-10-22 00:00:00
Assessor_12,"311399,65",ST,2020-09-14 00:00:00
Assessor_43,"310211,39",TED,2020-07-16 00:00:00
Assessor_39,"310200,00",TED,2020-08-20 00:00:00
Assessor_23,"310000,00",TED,2020-04-24 00:00:00
Assessor_42,"310000,00",TED,2020-06-03 00:00:00
Assessor_1,"309400,00",TED,2020-04-03 00:00:00
Assessor_26,"309100,00",TED,2019-12-23 00:00:00
Assessor_3,"308440,16",RF,2020-02-26 00:00:00
Assessor_41,"308300,00",TED,2020-04-07 00:00:00
Assessor_22,"307516,74",ST,2020-07-24 00:00:00
Assessor_31,"307000,00",TED,2020-01-16 00:00:00
Assessor_25,"306658,36",ST,2020-03-11 00:00:00
Assessor_46,"306585,89",TED,2019-12-05 00:00:00
Assessor_10,"306530,40",ST,2020-03-10 00:00:00
Assessor_35,"306500,00",TED,2020-02-05 00:00:00
Assessor_26,"305852,39",TED,2020-10-13 00:00:00
Assessor_27,"305800,00",TED,2020-04-14 00:00:00
Assessor_27,"305610,09",TED,2020-09-10 00:00:00
Assessor_12,"304000,00",TED,2020-05-19 00:00:00
Assessor_27,"303616,25",TED,2020-09-18 00:00:00
Assessor_37,"303150,00",TED,2020-09-08 00:00:00
Assessor_41,"302817,90",TED,2019-12-17 00:00:00
Assessor_26,"302728,74",TED,2020-07-14 00:00:00
Assessor_52,"302400,00",TED,2020-06-16 00:00:00
Assessor_15,"301984,27",TED,2020-07-01 00:00:00
Assessor_1,"301500,00",TED,2020-04-02 00:00:00
Assessor_36,"301160,15",TED,2020-07-20 00:00:00
Assessor_40,"301121,00",TED,2020-07-31 00:00:00
Assessor_25,"300110,00",TED,2020-07-03 00:00:00
Assessor_20,"300000,00",TED,2020-08-25 00:00:00
Assessor_23,"300000,00",TED,2020-06-29 00:00:00
Assessor_31,"300000,00",TED,2020-07-30 00:00:00
Assessor_34,"300000,00",TED,2020-06-18 00:00:00
Assessor_35,"300000,00",TED,2020-06-02 00:00:00
Assessor_40,"300000,00",TED,2020-05-06 00:00:00
Assessor_52,"300000,00",TED,2020-04-28 00:00:00
Assessor_52,"300000,00",TED,2020-07-13 00:00:00
Assessor_20,"299737,97",PREV INTERNA,2020-10-29 00:00:00
Assessor_22,"299719,57",TED,2020-07-14 00:00:00
Assessor_41,"299200,00",TED,2020-08-21 00:00:00
Assessor_36,"299000,00",TED,2020-08-12 00:00:00
Assessor_15,"298982,18",TED,2020-10-01 00:00:00
Assessor_23,"298100,00",TED,2020-02-28 00:00:00
Assessor_12,"297801,50",TED,2020-01-31 00:00:00
Assessor_31,"297565,00",TD,2020-01-07 00:00:00
Assessor_28,"297493,00",ST,2020-10-06 00:00:00
Assessor_3,"297436,39",PREV INTERNA,2020-07-09 00:00:00
Assessor_14,"297431,82",TED,2020-03-20 00:00:00
Assessor_41,"297254,58",TED,2020-04-06 00:00:00
Assessor_23,"297110,22",PREV,2020-09-04 00:00:00
Assessor_26,"296237,12",TED,2020-08-17 00:00:00
Assessor_42,"296139,96",TED,2020-03-13 00:00:00
Assessor_26,"295200,52",TED,2019-12-27 00:00:00
Assessor_41,"295000,00",TED,2020-07-20 00:00:00
Assessor_33,"294459,27",TED,2020-05-19 00:00:00
Assessor_36,"294420,00",TED,2020-07-31 00:00:00
Assessor_3,"293649,22",TED,2020-05-28 00:00:00
Assessor_26,"293396,58",TED,2020-06-08 00:00:00
Assessor_26,"293200,00",TED,2019-10-31 00:00:00
Assessor_46,"293131,05",TED,2020-07-15 00:00:00
Assessor_10,"292956,29",TED,2020-01-20 00:00:00
Assessor_37,"292687,95",TED,2019-12-17 00:00:00
Assessor_10,"292269,03",TED,2020-06-23 00:00:00
Assessor_27,"291854,01",PREV,2019-12-10 00:00:00
Assessor_12,"291747,00",ST,2020-05-12 00:00:00
Assessor_29,"291469,67",ST,2020-07-10 00:00:00
Assessor_21,"291158,08",ST,2020-04-29 00:00:00
Assessor_40,"290817,00",TED,2020-08-25 00:00:00
Assessor_46,"290592,30",PREV,2020-08-13 00:00:00
Assessor_4,"290064,51",TED,2020-10-21 00:00:00
Assessor_40,"290056,08",ST,2020-10-30 00:00:00
Assessor_21,"289857,89",ST,2020-07-24 00:00:00
Assessor_23,"289644,02",TED,2020-01-27 00:00:00
Assessor_12,"289582,36",TED,2020-08-27 00:00:00
Assessor_23,"288167,28",PREV,2020-06-02 00:00:00
